title,objectid,filename,creator,contribution,publication,publisher,placeofpub,date,description,annotation,controlled-vocab,subject,page,issue,latitude,longitude,collection,identifier,format-original,type,format,language,rights,rightsstatement
"Cardenas, Indian Idol",Cardenas-Indian-Idol,,Alvin Josephy,author,Digest,,,1937-10-23,"Alvin Josephy on Mexican President Cardena's relationship with native Indians, written for Digest, Vol 1; No. 15, beginning on page 18",,,Mexico; indians,18,Vol 1; No. 15,,,"Alvin Josephy, Jr. Annotaged Bibliography",Cardenas-Indian-Idol,article,record,listing,eng,,
Bomb in a Pail of Water,Bomb-in-a-Pail-of-Water,,Alvin Josephy,author,Ken,,,1938-05-05,"Alvin Josephy interview with Leon Trotsky, written for Ken, Vol 1; No. 3, beginning on page 24",,Food,leon trotsky; ,24,Vol 1; No. 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",Bomb-in-a-Pail-of-Water,article,record,listing,eng,,
Condors Don't Pay Taxes,Condors-Don-t-Pay-Taxes,,Alvin Josephy,author,Blue Book,,,1951-06-01,"Alvin Josephy on California condor, written for Blue Book, Vol 93; No 2, beginning on page 52",,,California condor,52,Vol 93; No 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",Condors-Don-t-Pay-Taxes,article,record,listing,eng,,
The Naming of the Nez Perce,The-Naming-of-the-Nez-Perce,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy,author,Montana,,,1955-10-01,"Alvin Josephy on History of the naming of the Nez Perce, written for Montana, Vol 5; No 4, beginning on page 1",,Nez Perce Language;Nez Perce Tribe;Nez Perce War and Aftermath,nez perce; naming; native americans,1,Vol 5; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Naming-of-the-Nez-Perce,article,record,url,eng,,
First 'Dude Ranch' Trip to the Untamed West,First-Dude-Ranch-Trip-to-the-Untamed-West,,Alvin Josephy,author,American Heritage,,,1956-02-01,"Alvin Josephy on Sir William Stewart's hunting party of 1843, written for American Heritage, Vol 7; No. 2, beginning on page 8",,,sir wiliam stewart; hunting,8,Vol 7; No. 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",First-Dude-Ranch-Trip-to-the-Untamed-West,article,record,listing,eng,,
The Lolo Trail,The-Lolo-Trail,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy,author,Westerners,,,1958-01-01,"Alvin Josephy on Trader-explorer David Thompson and the history of Lolo Trail, written for Westerners, Vol 4; No 4, beginning on page 82",,Nez Perce Tribe;Trade;tribal government to government relations,lolo trail; david thompson; trade; exploration,82,Vol 4; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Lolo-Trail,article,record,url,eng,,
The Last Stand of Chief Joseph,The-Last-Stand-of-Chief-Joseph,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy,author,American Heritage,,,1958-02-01,"Alvin Josephy on Nez Perce's great 1,300 miles fighting retreat, written for American Heritage, Vol 9; No. 2, beginning on page 36",,Atrocities against Indians;Indian uprisings;Indian-white relations;Nez Perce Tribe;Nez Perce War and Aftermath,nez perce; nez perce war; chief josephy; retreat; war; native americans,36,Vol 9; No. 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Last-Stand-of-Chief-Joseph,article,record,url,eng,,
Was America Discovered Before Columbus?,Was-America-Discovered-Before-Columbus-,https://catalog.sage.eou.edu/eg/opac/record/1559342,Alvin Josephy,author,American Heritage,,,1958-04-01,"Alvin Josephy on Portugese discovery of the New World by 1424, written for American Heritage, Vol 6; No. 3, beginning on page 16",,,portugese; discovery; new world,16,Vol 6; No. 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",Was-America-Discovered-Before-Columbus-,article,record,url,eng,,
A Man to Match the Mountains,A-Man-to-Match-the-Mountains,,Alvin Josephy,author,American Heritage,,,1960-10-01,"Alvin Josephy on David Thompson, explorer and land geographer of the New World, written for American Heritage, Vol 11; No 6, beginning on page 60",,,david thompson; geography; map making,60,Vol 11; No 6,,,"Alvin Josephy, Jr. Annotaged Bibliography",A-Man-to-Match-the-Mountains,article,record,listing,eng,,
Revolt in the Pueblos,Revolt-in-the-Pueblos,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy,author,American Heritage,,,1961-06-01,"Alvin Josephy on Pueblo uprising of 1680, written for American Heritage, Vol 12; No 4, beginning on page 65",,,pueblo indians; uprising; war; native americans,65,Vol 12; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",Revolt-in-the-Pueblos,article,record,url,eng,,
These lands are ours . . . ',These-lands-are-ours-,https://catalog.sage.eou.edu/eg/opac/record/1559342,Alvin Josephy,author,American Heritage,,,1961-08-01,"Alvin Josephy on Tecumseh's leadership greatness, written for American Heritage, Vol 12; No 5, beginning on page 14",,,tecumseh; native americans,14,Vol 12; No 5,,,"Alvin Josephy, Jr. Annotaged Bibliography",These-lands-are-ours-,article,record,url,eng,,
The Funeral of Peter Dan Moses,The-Funeral-of-Peter-Dan-Moses,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy,author,Westerners,,,1962-01-01,"Alvin Josephy on The funeral of Peter Dan Moses marked the passing of another colorful, prominent NW Indian Leader, written for Westerners, Vol 9; No 3, beginning on page 64",,,northwest; native americans;,64,Vol 9; No 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Funeral-of-Peter-Dan-Moses,article,record,url,eng,,
Origins of the Nez Perce People,Origins-of-the-Nez-Perce-People,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy,author,Idaho Yesterdays,,,1962-03-01,"Alvin Josephy on Aboriginal wanderers from Asia settled among Clearwater, Salmon, and Wallowa Country, written for Idaho Yesterdays, Vol 6; No 1, beginning on page 2",,,aboriginals; native americans; northwest,2,Vol 6; No 1,,,"Alvin Josephy, Jr. Annotaged Bibliography",Origins-of-the-Nez-Perce-People,article,record,url,eng,,
A Letter from Broken Hand,A-Letter-from-Broken-Hand,,Alvin Josephy,author,Westerners,,,1963-01-01,"Alvin Josephy on 1847 letter by Tom Fitzpatrick, early Indian agent appointed to the western plains, edited by A. Josephy, written for Westerners, Vol 10; No 2, beginning on page 25",,,tom fitzpatrick; native americans; western plains,25,Vol 10; No 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",A-Letter-from-Broken-Hand,article,record,listing,eng,,
Another Letter from Broken Hand,Another-Letter-from-Broken-Hand,,Alvin Josephy,author,Westerners,,,1963-01-01,"Alvin Josephy on 1847 letter by Tom Fitzpatrick to Thomas H. Harvery, Supt. Of Indian Affairs, edited by A. Josephy, written for Westerners, Vol 10; No 4, beginning on page 75",,,tom fitzpatrick; native americans; western plains,75,Vol 10; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",Another-Letter-from-Broken-Hand,article,record,listing,eng,,
"Tom Fitzpatrick, 1848",Tom-Fitzpatrick-1848,https://catalog.sage.eou.edu/eg/opac/record/1559342,Alvin Josephy,author,Westerners,,,1964-01-01,"Alvin Josephy on 1848 letter by Tom Fitzpatrick, mountain man, emigrant guide, and Indian Agent, edited by A. Josephy, written for Westerners, Vol 11; No 3, beginning on page 57",,,tom fitzpatrick; native americans; western plains,57,Vol 11; No 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",Tom-Fitzpatrick-1848,article,record,url,eng,,
New Light on the Early Northwest,New-Light-on-the-Early-Northwest,,Alvin Josephy,author,Westerners,,,1965-01-01,"Alvin Josephy on La Gasse and Le Blanc, first white men known to have entered the upper Basin of the Columbia River, written for Westerners, Vol 12; No 3, beginning on page 49",,,la gasse; le blanc; white men; columbia river basin;,49,Vol 12; No 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",New-Light-on-the-Early-Northwest,article,record,listing,eng,,
A Most Satisfactory Council,A-Most-Satisfactory-Council,,Alvin Josephy,author,American Heritage,,,1965-10-01,"Alvin Josephy on Walla Walla Council of 1855, written for American Heritage, Vol 16; No 6, beginning on page 27",,,walla walla; walla walla council of 1855;,27,Vol 16; No 6,,,"Alvin Josephy, Jr. Annotaged Bibliography",A-Most-Satisfactory-Council,article,record,listing,eng,,
Ordeal in Hell's Canyon,Ordeal-in-Hell-s-Canyon,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy,author,American Heritage,,,1966-12-01,"Alvin Josephy on John Jacob Astor's fur traders' discover the chasm of Idaho's Snake River, written for American Heritage, Vol 18; No 1, beginning on page 72",,,john jacob astor; fur trade; snake river,72,Vol 18; No 1,,,"Alvin Josephy, Jr. Annotaged Bibliography",Ordeal-in-Hell-s-Canyon,article,record,url,eng,,
Early Man in the Americas,Early-Man-in-the-Americas,,Alvin Josephy,author,Westerners,,,1967-01-01,"Alvin Josephy on Origin of early mankind in the Americas, written for Westerners, Vol 14; No 1, beginning on page 8",,Indian-white relations;Native American—American Indian (general),early mankind; native americans,8,Vol 14; No 1,,,"Alvin Josephy, Jr. Annotaged Bibliography",Early-Man-in-the-Americas,article,record,listing,eng,,
Nez Perces and The Appaloosa Horse . . . .False History:,Nez-Perces-and-The-Appaloosa-Horse-False-History-,,Alvin Josephy,author,Westerners,,,1967-01-01,"Alvin Josephy on Nez Perce and the Appaloosa, written for Westerners, Vol 14; No 4, beginning on page 73",,Horses,appaloosa; nez perce; native americans,73,Vol 14; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",Nez-Perces-and-The-Appaloosa-Horse-False-History-,article,record,listing,eng,,
Reply to Dr. Haines,Reply-to-Dr-Haines,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy,author,Westerners,,,1968-01-01,"Alvin Josephy on Nez Perce and the Appaloosa, written for Westerners, Vol 15; No 1, beginning on page 15",,,appaloosa; nez perce; native americans,15,Vol 15; No 1,,,"Alvin Josephy, Jr. Annotaged Bibliography",Reply-to-Dr-Haines,article,record,url,eng,,
Two Gamy Letters from Fort Yuma,Two-Gamy-Letters-from-Fort-Yuma,https://catalog.sage.eou.edu/eg/opac/record/1559342,Alvin Josephy,author,Westerners,,,1968-01-01,"Alvin Josephy on Sylvester Mowry, Arizona pioneer, written for Westerners, Vol 15; No 2, beginning on page 28",,,Sylvester Mowry; pioneers; Arizona,28,Vol 15; No 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",Two-Gamy-Letters-from-Fort-Yuma,article,record,url,eng,,
"Cornplanter, Can You Swim?",Cornplanter-Can-You-Swim-,,Alvin Josephy,author,American Heritage,,,1968-12-01,"Alvin Josephy on Kinzua Dam floods the Senecas' ancestral lands, written for American Heritage, Vol 20; No 1, beginning on page 4",,,senecas; native americans; kinzua dam,4,Vol 20; No 1,,,"Alvin Josephy, Jr. Annotaged Bibliography",Cornplanter-Can-You-Swim-,article,record,listing,eng,,
Everybody's Talking,Everybody-s-Talking,,Alvin Josephy,author,Great Plains Journal,,,1969-09-01,"Alvin Josephy on Historians, challenges and role, written for Great Plains Journal, , beginning on page 1",,,historians; scholarship,1,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Everybody-s-Talking,article,record,listing,eng,,
The Boy Artist of Red River,The-Boy-Artist-of-Red-River,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy,author,American Heritage,,,1970-02-01,"Alvin Josephy on Peter Rindisbacker, 19th Century artist, captured lives of Indians and white pioneers, written for American Heritage, Vol 21; No 2, beginning on page 30",,,Peter Rindisbacker; artists; native americans; whites,30,Vol 21; No 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Boy-Artist-of-Red-River,article,record,url,eng,,
Here in Nevada a Terrible Crime...',Here-in-Nevada-a-Terrible-Crime-,,Alvin Josephy,author,American Heritage,,,1970-06-01,"Alvin Josephy on Nevada's Pyramid Lake, victim of the plundering of natural resources, written for American Heritage, Vol 21; No 4, beginning on page 93",,,Nevada; pyramid lake;natural resources,93,Vol 21; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",Here-in-Nevada-a-Terrible-Crime-,article,record,listing,eng,,
Indians in History,Indians-in-History,,Alvin Josephy,author,Atlantic,,,1970-06-01,"Alvin Josephy on White historians' failure to know Indian history and nature, written for Atlantic, Vol 225; No 6, beginning on page 67",,,Whites; native americans; environmental consciousness; history;,67,Vol 225; No 6,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indians-in-History,article,record,listing,eng,,
